principal-invest,institution,title,duration,funding,areas,Financial_year,Round,Year,Institution_code,Item_no,Batch_no
Dr WONG Wai Lun,The University of Hong Kong,Exploring Future Strategies to Promote the Development of Vocational and Professional Education and Training (VPET) in New Quality Productive Force in Hong Kong in Synergy with Greater Bay Area—Policy Leaders’ and Industry Leaders’ Perspective: A Qualitative Approach,12,353447.9,"
		",2025-26,Theme-based,E2025,A8,162,
Professor Annie BLIGH,Saint Francis University,The Industry-university of Applied Sciences (UAS) Collaboration Models,12,743699.0,"
		",2025-26,Theme-based,E2025,B9,009,
Professor MOK Ka Ho,The Hang Seng University of Hong Kong,Strategies to Attract and Retain High-calibre Talents to Pursue Further Studies at Doctorate Level in Hong Kong for Nurturing Specialised Talents that will Contribute to Hong Kong's Development,12,558900.0,"
		",2025-26,Theme-based,E2025,B12,011,
"Dr HO Kin Chung, Henry",One Country Two Systems Youth Forum,Strategic Study on the Northern Metropolis University Town’s Positioning on Education and Research and Its Collaboration with Industries in GBA,12,940700.0,"
		",2025-26,Theme-based,E2025,C12,002,
"Professor WONG Chi Sang, Martin",The Chinese University of Hong Kong,"Acceptance, Attitude, Enablers and Barriers of Screening Programme for Hepatitis B in Hong Kong: A Mixed Qualitative and Quantitative Study",12,999727.0,Livelihood Issues,2025-26,Second Round,2025,A4,111,25B
"Professor AU Yuk Fai, Kevin",The Chinese University of Hong Kong,Deep-tech Ventures in Hong Kong and Their Supportive Innovation Systems,12,553702.0,"Co-operation with the Mainland, Economic Development, Innovation and Technology",2025-26,Second Round,2025,A4,112,25B
Dr TENG Yue,The Hong Kong Polytechnic University,Carbon Credits as a Catalyst for Promoting Modular Integrated Construction (MiC) in Hong Kong: Empirical Analysis and Policy Strategies,12,569020.0,Achieving Carbon Neutrality by 2050,2025-26,Second Round,2025,A6,277,25B
"Dr KEE Yee Chun, Tristance",The Hong Kong Polytechnic University,Investigating Social Sustainability in “Well-being Design” Housing Policy: A Post-occupancy Evaluation,12,669300.0,Land and Housing,2025-26,Second Round,2025,A6,278,25B
Dr SHIN Hyejo,The Hong Kong Polytechnic University,"Developing and Validating a Scale for Environmental, Social, and Governance-driven Smart Tourism Destinations (ESG-STDs): Extending the Stakeholder Theory and Social Exchange Theory",18,665677.5,Economic Development,2025-26,Second Round,2025,A6,280,25B
Professor TSANG King Fung,The Chinese University of Hong Kong,The Impact of Digitalisation on Legal Rules Concerning Cross-border Interactions and Commercial Dealings - Supporting the Role of Hong Kong as a Centre for International Dispute Resolution Services,12,454710.0,"Co-operation with the Mainland, Innovation and Technology",2025-26,Third Round,2025,A4,121,25C
Dr ZHAO Zhiheng,The Hong Kong Polytechnic University,"Harnessing the Synergistic Effect of Construction Robotics and Modular Integrated Construction: Key Barriers, Strategic Applications, and Policy Tools",12,483209.3,"Economic Development, Innovation and Technology",2025-26,Third Round,2025,A6,293,25C
"Professor SING Chun Pong, Michael",The Hong Kong Polytechnic University,Enhancing Inclusivity in Hong Kong’s Outdoor Facilities and Venues: A Study on Ethnic Minorities’ Access and Preferences,12,507725.0,Livelihood Issues,2025-26,Third Round,2025,A6,294,25C
Professor LI Xiao,The University of Hong Kong,A Reliability-centered Framework for Modular Integrated Construction (MiC) Failure Prediction and Maintenance Optimization,15,666425.0,Land and Housing,2025-26,Third Round,2025,A8,168,25C
Professor ZHAO Zhan,The University of Hong Kong,Smart Mega Events: A Cross-city Comparative Analysis of Event Portfolios and Public Perceptions Using Online Data and Large Language Models,12,592250.0,Healthcare Innovations,2025-26,Third Round,2025,A8,170,25C
Professor Julien Laurent CHAISSE,City University of Hong Kong,Making E-awards Work: Legal Fixes and Tech Upgrades to Keep Hong Kong at the Forefront of Digital Arbitration,12,909650.0,Co-operation with the Mainland,2025-26,Fourth Round,2025,A1,175,25D
"Professor CHUNG Kien Hoa, Kevin",The Education University of Hong Kong,"Post-secondary Students' Career and Life Planning: A Study on Ethnic Minority Youth's Experiences in Hong Kong, China",12,808852.5,Social Development,2025-26,Fourth Round,2025,A5,175,25D
"Professor CHEUNG Yuk Yim, Catherine",The Hong Kong Polytechnic University,Enhancing Hong Kong's Appeal as a Halal Tourism Hub: Strategic Insights and Policy Recommendations for Sustainable Growth,12,578174.0,"Integrated Development of Culture, Sports and Tourism",2025-26,Fourth Round,2025,A6,300,25D
Professor WANG Xiaolu,The Hong Kong Polytechnic University,Spatial Poverty and the Design and Impact of Community Spaces,12,774444.5,Economic Development,2025-26,Fourth Round,2025,A6,301,25D
Professor GAO Zhenyu,The Hong Kong University of Science of Technology,Integrating Low-altitude Air Mobility Traffic into Metroplex Airport Terminal Airspace: A Focus on Hong Kong and the Greater Bay Area,18,873310.0,"Co-operation with the Mainland, Economic Development",2025-26,Fourth Round,2025,A7,040,25D
Dr LIU Huimin,Hong Kong Metropolitan University,Exploring the Dual Effects of Artificial Intelligence Nudging on Sustainable Consumption in Hong Kong’s Tourism and Hospitality Industry,12,758995.4,New Quality Productive Forces,2025-26,Fourth Round,2025,B16,018,25D
Professor FAN Ying,The Hong Kong Polytechnic University,"The Impact and Optimization of Urban Redevelopment Incentives: Efficiency, Spillover, and Quantitative Spatial Equilibrium in Hong Kong",18,886650.0,Economic Development,2026-27,First Round,2026,A6,312,26A
