principal-invest,institution,title,duration,funding,areas,Financial_year,Round,Year,Institution_code,Item_no,Batch_no
"Prof HE Ying, Sylvia",The Chinese University of Hong Kong,"Out-of-home Activities and Social Exclusion among Hong Kong's Aging Population: A Study of the Elderly's
Activity-travel Patterns and Its Implication on Well-being",9,397853.0,Livelihood Issues,2017-18,Second Round,2016,A4,035,17B
"Dr LIU Suk Ching, Elaine",City University of Hong Kong,Demographic and Social Indicators of Youth Volunteering in Hong Kong,12,842950.0,Youth Development,2017-18,Third Round,2017,A1,058,17C
"Dr LAU Ka Wai, Maggie",Lingnan University,Relationship between Poverty and Neurocognitive Skills,24,700000.0,Livelihood Issues,2017-18,Third Round,2017,A3,011,17C
"Prof HE Ying, Sylvia",The Chinese University of Hong Kong,"Promoting e-mobility in Hong Kong: Institutional and Spatial Contexts, Public Acceptance, and the Location Choice of Public EV Charging Facilities",18,530725.0,"Economic Development, Others",2017-18,Third Round,2017,A4,037,17C
Prof YEOH Eng Kiong,The Chinese University of Hong Kong,"Investigating the Preference, Attitude and Perception of Frail Older People on Consumer-directed Long-term Care in Hong Kong",12,490907.0,Livelihood Issues,2017-18,Third Round,2017,A4,039,17C
"Prof Karen A.
Joe LAIDLER",The University of Hong Kong,"Opening Doors, Creating Pathways - A Qualitative Study of Social Harms and Service Access of Young People from Ethnic Minority Backgrounds in Hong Kong",14,400000.0,Livelihood Issues,2017-18,Third Round,2017,A8,062,17C
"Dr LEE Hsiang Hui, Emily",The University of Hong Kong,Financial Inclusion and Bank Account Opening: Deploying Financial Technology and Regulatory Technology for Improving Banking Services Accessibility Inside Hong Kong’s Anti-Money Laundering Law,18,295550.0,Economic Development,2017-18,Third Round,2017,A8,064,17C
"Prof FUNG Ying Him, Anthony",The Chinese University of Hong Kong,Tracking the Future: The Perception of Future and Aspirations of Hong Kong Youth,12,345000.0,Youth Development,2017-18,Fourth Round,2017,A4,040,17D
Prof LUI Tai Lok,The Education University of Hong Kong,Global Governance Hub: A New Dimension in Hong Kong's Global City Strategy?,18,957766.0,Political Development and Governance,2017-18,Fourth Round,2017,A5,029,17D
"Dr LUI Ching Wu, Lake",The Education University of Hong Kong,"Family Policies, Social Norms and Fertility Decisions: A Survey Experiment",12,764750.0,Livelihood Issues,2017-18,Fourth Round,2017,A5,032,17D
Prof GUO Hai,The Hong Kong Polytechnic University,Clear up Toxic Smog and Improve Air Quality in Hong Kong,18,498410.0,Environmental Protection,2017-18,Fourth Round,2017,A6,094,17D
